timestamp,date,interval,plant_code,generation_type,value_mw
2026-06-06 00:15:00,2026-06-06,1,CE EDO,INT,8.52
2026-06-06 00:15:00,2026-06-06,1,CE QOL,INT,0.2
2026-06-06 00:15:00,2026-06-06,1,CE SJU,INT,0.55
2026-06-06 00:15:00,2026-06-06,1,CE WAR,INT,1.09
2026-06-06 00:30:00,2026-06-06,2,ALT01,TER,0.0
2026-06-06 00:30:00,2026-06-06,2,ALT02,TER,0.0
2026-06-06 00:30:00,2026-06-06,2,ARJ01,TER,0.0
2026-06-06 00:30:00,2026-06-06,2,ARJ02,TER,0.0
2026-06-06 00:30:00,2026-06-06,2,ARJ03,TER,0.0
2026-06-06 00:30:00,2026-06-06,2,ARJ08,TER,0.0
2026-06-06 00:30:00,2026-06-06,2,ARJ09,TER,0.0
2026-06-06 00:30:00,2026-06-06,2,ARJ11,TER,0.0
2026-06-06 00:30:00,2026-06-06,2,ARJ12,TER,0.0
2026-06-06 00:30:00,2026-06-06,2,ARJ13,TER,0.0
2026-06-06 00:30:00,2026-06-06,2,ARJ14,TER,0.0
2026-06-06 00:30:00,2026-06-06,2,ARJ15,TER,0.0
2026-06-06 00:30:00,2026-06-06,2,BUL01,TER,0.0
2026-06-06 00:30:00,2026-06-06,2,BUL02,TER,0.0
2026-06-06 00:30:00,2026-06-06,2,BUL03,TER,0.0
2026-06-06 00:30:00,2026-06-06,2,CAR01,TER,0.0
2026-06-06 00:30:00,2026-06-06,2,CAR02,TER,0.0
2026-06-06 00:30:00,2026-06-06,2,CAR03,TER,0.0
2026-06-06 00:30:00,2026-06-06,2,ERI01,TER,0.0
2026-06-06 00:30:00,2026-06-06,2,ERI02,TER,0.0
2026-06-06 00:30:00,2026-06-06,2,ERI03,TER,0.0
2026-06-06 00:30:00,2026-06-06,2,ERI04,TER,0.0
2026-06-06 00:30:00,2026-06-06,2,ERI30,TER,35.96
2026-06-06 00:30:00,2026-06-06,2,ERI31,TER,43.06
2026-06-06 00:30:00,2026-06-06,2,ERI32,TER,42.98
2026-06-06 00:30:00,2026-06-06,2,ERI40,TER,0.01
2026-06-06 00:30:00,2026-06-06,2,ERI41,TER,0.0
2026-06-06 00:30:00,2026-06-06,2,ERI42,TER,0.0
2026-06-06 00:30:00,2026-06-06,2,ERI50,TER,34.67
2026-06-06 00:30:00,2026-06-06,2,ERI51,TER,35.09
2026-06-06 00:30:00,2026-06-06,2,ERI52,TER,35.0
2026-06-06 00:30:00,2026-06-06,2,GCH01,TER,0.0
2026-06-06 00:30:00,2026-06-06,2,GCH02,TER,0.0
2026-06-06 00:30:00,2026-06-06,2,GCH04,TER,0.0
2026-06-06 00:30:00,2026-06-06,2,GCH06,TER,0.0
2026-06-06 00:30:00,2026-06-06,2,GCH09,TER,0.0
2026-06-06 00:30:00,2026-06-06,2,GCH10,TER,50.44
2026-06-06 00:30:00,2026-06-06,2,GCH11,TER,0.0
2026-06-06 00:30:00,2026-06-06,2,GCH12,TER,36.36
2026-06-06 00:30:00,2026-06-06,2,MOS,TER,0.0
2026-06-06 00:30:00,2026-06-06,2,SCZ01,TER,0.0
2026-06-06 00:30:00,2026-06-06,2,SCZ02,TER,0.0
2026-06-06 00:30:00,2026-06-06,2,SUR10,TER,28.32
2026-06-06 00:30:00,2026-06-06,2,SUR11,TER,23.78
2026-06-06 00:30:00,2026-06-06,2,SUR12,TER,23.65
2026-06-06 00:30:00,2026-06-06,2,SUR20,TER,0.0
2026-06-06 00:30:00,2026-06-06,2,SUR21,TER,0.0
2026-06-06 00:30:00,2026-06-06,2,SUR22,TER,0.0
2026-06-06 00:30:00,2026-06-06,2,SUR30,TER,37.17
2026-06-06 00:30:00,2026-06-06,2,SUR31,TER,43.28
2026-06-06 00:30:00,2026-06-06,2,SUR32,TER,43.26
2026-06-06 00:30:00,2026-06-06,2,SUR40,TER,34.52
2026-06-06 00:30:00,2026-06-06,2,SUR41,TER,41.18
2026-06-06 00:30:00,2026-06-06,2,SUR42,TER,41.28
2026-06-06 00:30:00,2026-06-06,2,VHE01,TER,0.0
2026-06-06 00:30:00,2026-06-06,2,VHE02,TER,0.0
2026-06-06 00:30:00,2026-06-06,2,VHE03,TER,0.0
2026-06-06 00:30:00,2026-06-06,2,VHE04,TER,0.0
2026-06-06 00:30:00,2026-06-06,2,VHE05,TER,0.0
2026-06-06 00:30:00,2026-06-06,2,VHE06,TER,0.0
2026-06-06 00:30:00,2026-06-06,2,VHE07,TER,0.0
2026-06-06 00:30:00,2026-06-06,2,VHE08,TER,0.0
2026-06-06 00:30:00,2026-06-06,2,WAR05,TER,0.0
2026-06-06 00:30:00,2026-06-06,2,WAR10,TER,28.21
2026-06-06 00:30:00,2026-06-06,2,WAR11,TER,24.33
2026-06-06 00:30:00,2026-06-06,2,WAR12,TER,24.32
2026-06-06 00:30:00,2026-06-06,2,WAR20,TER,29.62
