timestamp,demand_mw,actual_dispatch_mw,optimized_dispatch_mw,actual_cost_proxy_usd,optimized_cost_proxy_usd,actual_renewable_mwh,optimized_renewable_mwh,actual_total_mwh,optimized_total_mwh,unserved_mw,actual_renewable_share,optimized_renewable_share,cost_proxy_saving_usd
2026-06-06 07:15:00,975.48,1099.67,1004.7444000000002,13531.28,6851.185500000001,40.69,159.16100000000003,274.9175,251.18610000000004,0.0,0.1480080387752689,0.633637768968904,6680.094499999999
2026-06-06 07:30:00,1000.81,1129.1,1030.8343,13745.75,7090.171624999999,43.2875,161.556,282.275,257.708575,0.0,0.15335222743778232,0.6268941574800141,6655.578375000001
2026-06-06 07:45:00,1041.54,1161.93,1072.7862,13930.3825,7467.510249999998,47.7675,165.54600000000002,290.4825,268.19655,0.0,0.16444191990911672,0.6172562622449842,6462.872250000001
2026-06-06 08:00:00,1041.98,1199.94,1073.2394000000004,14181.8525,7311.241750000004,51.769999999999996,168.79600000000002,299.985,268.3098500000001,0.0,0.1725752954314382,0.6291084729092128,6870.610749999997
2026-06-06 08:15:00,1070.9,1249.83,1103.027,14251.43,7581.94625,65.6675,171.57350000000002,312.4575,275.75675,0.0,0.21016458238320415,0.6221914785404166,6669.48375
2026-06-06 08:30:00,1104.64,1284.25,1137.7792,14569.515,7962.414,67.625,173.52100000000002,321.0625,284.4448,0.0,0.21062877165660893,0.6100340030824962,6607.101
2026-06-06 08:45:00,1125.49,1322.41,1159.2547,14870.3,8162.577124999998,72.0175,175.42350000000002,330.6025,289.813675,0.0,0.21783713069320407,0.6052975243490495,6707.722875000001
2026-06-06 09:00:00,1184.01,1345.06,1219.5303000000004,14979.925,8900.241625000004,75.72749999999999,177.246,336.265,304.8825750000001,0.0,0.22520184973161048,0.5813582491554329,6079.683374999995
2026-06-06 09:15:00,1215.97,1382.38,1252.4491000000005,15323.035,9278.750125000004,78.745,178.72850000000003,345.595,313.1122750000001,0.0,0.22785341223107972,0.5708128178622187,6044.284874999996
2026-06-06 09:30:00,1224.06,1413.7,1260.7818000000002,15580.4075,9297.699750000002,81.945,180.64100000000002,353.425,315.19545000000005,0.0,0.23185965905071795,0.5731078922617696,6282.707749999998
2026-06-06 09:45:00,1254.85,1436.82,1292.4955000000002,15498.34,9624.763125000003,90.9975,182.82100000000003,359.205,323.12387500000006,0.0,0.2533302710151585,0.5657922986965912,5873.576874999997
2026-06-06 10:00:00,1279.37,1456.04,1317.7511000000002,15612.89,9895.402625000002,93.325,184.35350000000003,364.01,329.43777500000004,0.0,0.2563803192219994,0.5596003676263295,5717.487374999997
2026-06-06 10:15:00,1296.66,1477.21,1335.5598000000005,15760.605,10062.897250000005,95.76,185.901,369.3025,333.8899500000001,0.0,0.2592996256456428,0.5567732721514976,5697.707749999994
2026-06-06 10:30:00,1307.94,1493.41,1347.1782,15892.8975,10184.77525,97.07,186.6585,373.3525,336.79455,0.0,0.2599955805840325,0.5542206665755132,5708.1222499999985
2026-06-06 10:45:00,1348.55,1503.73,1389.0065,15973.385,10722.914374999998,98.0325,187.3985,375.9325,347.251625,0.0,0.260771548083765,0.5396619814234132,5250.470625000002
2026-06-06 11:00:00,1356.65,1521.85,1397.3495000000003,16126.915,10825.005625000003,100.13,187.651,380.4625,349.33737500000007,0.0,0.2631796826231232,0.5371626783421041,5301.909374999997
2026-06-06 11:15:00,1368.74,1534.84,1409.8022000000003,16174.5,10922.230250000002,103.0275,189.13100000000003,383.71,352.4505500000001,0.0,0.26850355737405857,0.5366171226006031,5252.269749999998
2026-06-06 11:30:00,1369.67,1552.46,1410.7601000000004,16245.94,10879.526375000003,106.44500000000001,190.2485,388.115,352.6900250000001,0.0,0.27426149466008787,0.5394212665923851,5366.413624999997
2026-06-06 11:45:00,1364.96,1553.75,1405.9088000000004,16226.15,10793.696000000004,106.74,190.631,388.4375,351.4772000000001,0.0,0.274793242156074,0.5423708849393359,5432.453999999996
2026-06-06 12:00:00,1389.32,1558.63,1430.9996,16177.855,11067.819500000001,109.1175,192.04850000000002,389.6575,357.7499,0.0,0.2800343891751089,0.5368233506144936,5110.035499999998
2026-06-06 12:15:00,1396.2399999999998,1559.98,1438.1272000000001,16335.627499999999,11111.699,104.25500000000001,193.13100000000003,389.995,359.53180000000003,0.0,0.26732394005051346,0.5371736241411748,5223.928499999998
2026-06-06 12:30:00,1392.9,1552.3,1434.6870000000004,16394.13,11079.646250000003,99.3225,192.82600000000002,388.075,358.6717500000001,0.0,0.25593635250917995,0.5376113396162367,5314.483749999998
2026-06-06 12:45:00,1395.94,1546.9,1437.8182000000002,16327.845000000001,11123.450250000004,99.2425,192.811,386.725,359.45455000000004,0.0,0.2566229232658866,0.5363988298381533,5204.394749999998
2026-06-06 13:00:00,1422.28,1551.21,1464.9484000000002,16415.95,11428.615500000004,98.0075,194.16850000000002,387.8025,366.23710000000005,0.0,0.2527252918689281,0.5301715746438578,4987.334499999997
2026-06-06 13:15:00,1430.89,1550.92,1473.8167000000003,16518.495,11579.554625000004,94.58500000000001,193.5885,387.73,368.4541750000001,0.0,0.24394552910530526,0.5254072640105109,4938.940374999995
2026-06-06 13:30:00,1427.31,1557.77,1470.1293000000003,16626.4775,11508.477875000002,94.3775,193.996,389.4425,367.53232500000007,0.0,0.24234001168336788,0.5278338442747859,5117.999624999999
2026-06-06 13:45:00,1427.08,1561.12,1469.8924000000002,16563.9075,11593.470500000003,97.75,192.23100000000002,390.28,367.47310000000004,0.0,0.2504612073383212,0.5231158416765744,4970.436999999998
2026-06-06 14:00:00,1428.63,1553.71,1471.4889000000003,16554.51,11710.797375000002,96.8625,190.32350000000002,388.4275,367.87222500000007,0.0,0.24937086071403286,0.5173630599592018,4843.7126249999965
2026-06-06 14:15:00,1440.6,1554.43,1483.8180000000002,16551.36,11886.322500000002,98.2925,190.20350000000002,388.6075,370.95450000000005,0.0,0.2529351595118468,0.5127407808774391,4665.0374999999985
2026-06-06 14:30:00,1438.95,1560.72,1482.1185000000003,16672.175,11938.954375000003,97.955,188.6835,390.18,370.52962500000007,0.0,0.25105079706801986,0.5092264889750717,4733.220624999996
2026-06-06 14:45:00,1423.86,1564.8200000000002,1466.5758,16658.135000000002,11693.36725,100.4675,189.32100000000003,391.20500000000004,366.64395,0.0,0.25681548037473956,0.5163619909724407,4964.767750000003
2026-06-06 15:00:00,1418.51,1562.17,1461.0653000000002,16499.6725,11645.972875000001,103.685,188.75350000000003,390.5425,365.26632500000005,0.0,0.2654896714186036,0.5167558219334892,4853.699624999999
2026-06-06 15:15:00,1416.25,1553.57,1458.7375,16439.185,11777.465625,103.61749999999999,185.48350000000002,388.3925,364.684375,0.0,0.26678553267635186,0.5086137841798131,4661.719375000001
2026-06-06 15:30:00,1411.2,1552.42,1453.5360000000003,16425.44,11727.195000000002,105.47,185.0585,388.105,363.38400000000007,0.0,0.2717563545947617,0.5092643044272724,4698.244999999997
